,N_MLUNG_1,N_MLUNG_2,N_MLUNG_3,N_MLUNG_4,N_MLUNG_5,T_MLUNG_1,T_MLUNG_2,T_MLUNG_3,T_MLUNG_4,T_MLUNG_5,T_MLUNG_6,T_MLUNG_7
EAM236,1.7199694886815402,0.08865604232989996,0.8382698257486426,0.8277029553875085,0.07174904975208789,-0.44814097201563197,-1.9480025510747838,0.4337700283244896,0.6825141566255479,-0.671313274042751,-1.1639407702787505,-0.43123397943781994
EAM241,1.5132636761155922,-0.7321173289264102,-0.4402402582064375,-0.5868423825694601,1.892428223388758,-0.375208535908913,-0.7321173289264102,-0.625534725977249,-0.328553124464692,1.4913141937074799,-0.34427507930585144,-0.7321173289264102
EAM242,1.7733073600691753,0.42165280960259033,-0.9357513652279141,1.4084526254330212,0.7963640431483228,-1.001954182903903,-0.6030945270297077,-1.057971951706662,-0.45294719364049413,0.6005482648114034,0.10936606915084404,-1.057971951706662
EAM243,1.4927018820461366,-0.5786813088059543,-0.5786813088059543,-0.27066651989578994,2.0310952516314233,-0.5786813088059543,-0.5786813088059543,-0.5786813088059543,-0.5786813088059543,1.376319856665859,-0.5786813088059543,-0.5786813088059543
EAM245,0.0791593217016456,-0.574209541266571,-0.7731227086194298,0.7654097490690109,0.6915277154808053,1.4108626798670632,-1.1754144409595997,0.9322532425017139,0.18977939946420497,1.0463238547999871,-1.6633606188333483,-0.9292086532055002
EAM249,0.4167465831295487,0.6215329635539452,0.3040650819390917,1.8597696834679636,1.0383845294485803,-0.7478622242053636,-1.143857214103256,-1.3706199866852953,-0.0880105513956547,0.7942646063726091,-0.7828564792334565,-0.901556992288745
EAM254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EAM257,-0.4760662170475556,-0.3301687289548524,0.8063288714239266,2.363612360207412,0.851914009334437,0.08548256974015252,-0.48245314571084086,-0.9906522930758093,-0.6930965577039101,-1.2337312839667411,-0.4368680078003306,0.535698423554116
EAM258,1.252156984007393,0.37389600818499347,-0.7351970138485489,2.032039540135043,-0.4431761553877848,0.02068633747460821,-1.110940289070023,-1.4921795653917613,0.353744004150687,0.43636722069134354,0.11082075551895942,-0.7982178264649258
EAM259,1.802392699241552,0.00897634308713117,1.2344608969350832,1.219072880214285,0.7228093409685673,-0.8642936058181234,-0.669663690627297,-0.3727319605704277,-0.9336821626980158,-0.15359520393536852,-0.9688751268650251,-1.024870409932371
EAM273,1.0469533676488672,0.6367821350161508,0.005979967825110446,2.23896317423574,-0.17127996185536093,-0.5487150925635057,-0.8601583987570328,-0.6701158007060143,-0.08628734167341047,0.6312568352733259,-1.3219452841597155,-0.901433600284155
EAM288,1.0964955431430712,-0.6510820282806352,0.38775661737411,1.4066175967662646,0.5148020887627769,-0.6645045228008143,0.6582354895074749,-1.2891187445421441,-1.2380820502619303,1.1163171338879854,-0.048318379014014826,-1.2891187445421441
EAM293,-0.28867513459480865,-0.28867513459480865,-0.28867513459480865,-0.28867513459480865,-0.28867513459480865,-0.28867513459480865,-0.28867513459480865,-0.28867513459480865,-0.28867513459480865,3.1754264805429453,-0.28867513459480865,-0.28867513459480865
